Link,,Map,Mod,Suggested pp value,Best pp value,Difference
https://osu.ppy.sh/beatmapsets/2433439#fruits/5302684,,SHIKI - Rose Quartz (fayew) [Floral Strobe],HR,1400,,-1400
https://osu.ppy.sh/beatmapsets/542969#fruits/1150868,,#N/A,NM,1400,,-1400
https://osu.ppy.sh/beatmapsets/306012#fruits/5035509,,sHimaU - SLOTcore Is Dead (Arphimigon) [BOSS],NM,1400,,-1400
https://osu.ppy.sh/beatmapsets/2203299#fruits/4663536,,VINXIS - Sidetracked Day (Verti) [Deviated],DT,1400,,-1400
https://osu.ppy.sh/beatmapsets/1054646#fruits/2203618,,Matsushita - raspberry cube (-Luminate) [Delightful],DT,1394,,-1394
https://osu.ppy.sh/beatmapsets/2398958#fruits/5199148,,#N/A,HR,1392,,-1392
https://osu.ppy.sh/beatmapsets/1789527#fruits/3666753,,ToYou & DJ Raisei - ADHD (Jemzuu) [Rustyy & Jemzuu's Hyperactivity],HR,1391,,-1391
https://osu.ppy.sh/beatmapsets/1831275#fruits/4398494,,MisoilePunch - MixxioN (fayew) [JOAKH VS. FAYEW'S EPILOGUE],NM,1390,,-1390
https://osu.ppy.sh/beatmapsets/2004114#fruits/4167727,,lapix - You're Beautiful (Mniam) [GG Yummy Tammy's Mesmerizing Collaboration],HR,1390,,-1390
https://osu.ppy.sh/beatmapsets/2011565#fruits/4185898,,A-One feat. ayaponzu* - Justice Monster (F D Flourite) [KiRin],HR,1380,,-1380
https://osu.ppy.sh/beatmapsets/1373977#fruits/2840387,,Camellia - Nacreous Snowmelt (Rocma) [Meltdown],NM,1380,,-1380
https://osu.ppy.sh/beatmapsets/233376#fruits/541677,,marina - Towa yori Towa ni (CLSW) [Eternity],DT,1380,,-1380
https://osu.ppy.sh/beatmapsets/944317#fruits/1972150,,Chroma - I (Ascendance) [AI],HR,1380,,-1380
https://osu.ppy.sh/beatmapsets/944317#fruits/1972150,,Chroma - I (Ascendance) [AI],HR,1380,,-1380
https://osu.ppy.sh/beatmapsets/944317#fruits/1972150,,Chroma - I (Ascendance) [AI],HR,1380,,-1380
https://osu.ppy.sh/beatmapsets/1971892#fruits/4091632,,Ata - Doom Butterfly (Kyptoric) [Lost Galaxy],NM,1380,,-1380
https://osu.ppy.sh/beatmapsets/2088302#fruits/4376231,,"Camellia - {albus} (""Silver"" Long ver.) (Rocma) [Quicksilver]",NM,1380,,-1380
https://osu.ppy.sh/beatmapsets/1861290#fruits/3826863,,Morimori Atsushi - Laevateinn (Verti) [Deadly Force],HR,1380,,-1380
https://osu.ppy.sh/beatmapsets/2096973#fruits/4397737,,BlackYooh vs. siromaru - KERBEROX (Deif) [Underworld],HR,1380,,-1380
https://osu.ppy.sh/beatmapsets/1596787#fruits/3261247,,katagiri - Palace of Melancholia (Jemzuu) [Berzerk],HR,1370,,-1370
https://osu.ppy.sh/beatmapsets/1625860#fruits/3319445,,xi - Last Resort (fuhie) [Razor's CHALLENGING LEGACY: Destrudo Finale],HR,1368,,-1368
https://osu.ppy.sh/beatmapsets/2292175#fruits/4897811,,jun with Alison - SUNKiSS <3 DROP ~jun Side~ (Ascendance) [DAHCREEPER'S CHALLENGE+],HR,1365,,-1365
https://osu.ppy.sh/beatmapsets/1820815#fruits/3736233,,FLOW - Kaze no Uta (TV Size) (Secre) [Tempest],DT,1355,,-1355
https://osu.ppy.sh/beatmapsets/1508396#fruits/3089126,,DJ Myosuke & Noizenecio - Architecture (Razor Sharp) [Eternal Blueprint],HR,1350,,-1350
https://osu.ppy.sh/beatmapsets/1774562#fruits/3633671,,kanemiko - Electrolytes (Unlucky_w) [Deluge],HR,1350,,-1350
https://osu.ppy.sh/beatmapsets/2238936#fruits/4757915,,seatrus - DiSANiMATE (-Rustyy) [RUSTYY & ASCENDANCE'S FRAGMENTATION],NM,1346,,-1346
https://osu.ppy.sh/beatmapsets/2307872#fruits/4936088,,"Worm Shepherd - Winter Sun (Daletto) [""The hand behind the druids; a familiar hand cold and cruel""]",HR,1345,,-1345
https://osu.ppy.sh/beatmapsets/2395391#fruits/5188321,,celtix - Necrotopia (Spectator) [ExSpec's Afterworld],NM,1340,,-1340
https://osu.ppy.sh/beatmapsets/2136432#fruits/4495767,,Camellia - Racemization (Secre) [Terminus],NM,1340,,-1340
https://osu.ppy.sh/beatmapsets/2136432#fruits/4495767,,Camellia - Racemization (Secre) [Terminus],NM,1340,,-1340
https://osu.ppy.sh/beatmapsets/2136432#fruits/4495767,,Camellia - Racemization (Secre) [Terminus],NM,1340,,-1340
https://osu.ppy.sh/beatmapsets/601392#fruits/1566770,,nao - Towa naru Kizuna to Omoi no Kiseki (rew0825) [Miracle],DT,1338,,-1338
https://osu.ppy.sh/beatmapsets/1246989#fruits/2591954,,"Amuro vs. Killer - Mei (Camellia's ""Yomigae"" Remix) (Spectator) [Solitary Journey to Pluto]",HR,1335,,-1335
https://osu.ppy.sh/beatmapsets/1258751#fruits/2620103,,Umeboshi Chazuke - ICHIBANBOSHI*ROCKET (Jemzuu) [TASUKE'S OVERDOSE],DT,1330,,-1330
https://osu.ppy.sh/beatmapsets/812855#fruits/1704854,,Rita - dorchadas (Sinnoh) [Overdose],DT,1330,,-1330
https://osu.ppy.sh/beatmapsets/1715139#fruits/3504487,,Silentroom - XHRONOXAPSULE (Jemzuu) [XATAXLYSM],HR,1328,,-1328
https://osu.ppy.sh/beatmapsets/1715139#fruits/3504487,,Silentroom - XHRONOXAPSULE (Jemzuu) [XATAXLYSM],HR,1328,,-1328
https://osu.ppy.sh/beatmapsets/1715139#fruits/3504487,,Silentroom - XHRONOXAPSULE (Jemzuu) [XATAXLYSM],HR,1328,,-1328
https://osu.ppy.sh/beatmapsets/1715139#fruits/3504487,,Silentroom - XHRONOXAPSULE (Jemzuu) [XATAXLYSM],HR,1328,,-1328
https://osu.ppy.sh/beatmapsets/306012#fruits/2442176,,sHimaU - SLOTcore Is Dead (Arphimigon) [EIGHT],HR,1325,,-1325
https://osu.ppy.sh/beatmapsets/1709308#fruits/3492839,,"HyuN - Duplicity Shade (feat. Sennzai) (-Rustyy) [Rustyy, Verti & Jemzuu's Virtuoso]",HR,1321,,-1321
https://osu.ppy.sh/beatmapsets/2109206#fruits/4427154,,t+pazolite - Kick-ass Kung-fu Carnival (Spectator) [Overdrive],NM,1315,,-1315
https://osu.ppy.sh/beatmapsets/1634333#fruits/3335681,,Yooh - Ice Angel (Razor Sharp) [Beneath the Frozen Wastes of Jotunheim],HR,1315,,-1315
https://osu.ppy.sh/beatmapsets/1704256#fruits/3482512,,Kobaryo - Cartoon Candy (Kukkai) [Overdose],DT,1310,,-1310
https://osu.ppy.sh/beatmapsets/2141702#fruits/4507812,,"Ashrount vs. D-D-Dice - Abstruse Dilemma (""A"" + ""D"" side Extended Edit) (Razor Sharp) [Absolute End.]",NM,1310,,-1310
https://osu.ppy.sh/beatmapsets/1794214#fruits/3677233,,D-D-Dice vs. siromaru - Catch the Glory (Bunnrei) [Grand Collab],NM,1310,,-1310
https://osu.ppy.sh/beatmapsets/1212452#fruits/2523668,,"Camellia - FLYING OUT TO THE SKY (covered by Nanahira, moimoi, Nana Takahashi) (Sotarks) [ENDGAME]",NM,1310,,-1310
https://osu.ppy.sh/beatmapsets/1849910#fruits/3800052,,Rings of Saturn - The Heavens Have Fallen (fuhie) [Sacrilegious Lectisternium],NM,1310,,-1310
https://osu.ppy.sh/beatmapsets/1849910#fruits/3800052,,Rings of Saturn - The Heavens Have Fallen (fuhie) [Sacrilegious Lectisternium],NM,1310,,-1310
https://osu.ppy.sh/beatmapsets/1849910#fruits/3800052,,Rings of Saturn - The Heavens Have Fallen (fuhie) [Sacrilegious Lectisternium],NM,1310,,-1310
https://osu.ppy.sh/beatmapsets/1776945#fruits/3638975,,MY FIRST STORY - REVIVER (Secre) [RESURRECTION],DT,1305,,-1305
https://osu.ppy.sh/beatmapsets/1954194#fruits/4057951,,#N/A,NM,1300,,-1300
https://osu.ppy.sh/beatmapsets/492407#fruits/1049018,,Meramipop - Sanae-san (EvilElvis) [Behind you!],HR,1300,,-1300
https://osu.ppy.sh/beatmapsets/492407#fruits/1049018,,Meramipop - Sanae-san (EvilElvis) [Behind you!],HR,1300,,-1300
https://osu.ppy.sh/beatmapsets/1970946#fruits/4089492,,Good Kid - Slingshot (Chatie) [Overdose],EZDT,1300,,-1300
https://osu.ppy.sh/beatmapsets/2391791#fruits/5177767,,Symholic feat. Rina Komatsu - Veil of Ash (Yoshi_green) [Virulent Adoration],HR,1300,,-1300
https://osu.ppy.sh/beatmapsets/1647749#fruits/3363340,,Irreversible Mechanism - Into the Void (fuhie) [Eternal Oblivion],HR,1300,,-1300
https://osu.ppy.sh/beatmapsets/1647749#fruits/3363340,,Irreversible Mechanism - Into the Void (fuhie) [Eternal Oblivion],HR,1300,,-1300
https://osu.ppy.sh/beatmapsets/1722551#fruits/3520524,,Ata - Euphoria (Kyptoric) [Hi-Speed Fruit Super-Highway],HR,1297,,-1297
https://osu.ppy.sh/beatmapsets/2007941#fruits/4176765,,Minstrel - Heian Alien (-Ken) [Mysterious Collab],HR,1293,,-1293
https://osu.ppy.sh/beatmapsets/418826#fruits/906421,,DystopiaGround - AugoEidEs (koliron) [Freezing],DT,1290,,-1290
https://osu.ppy.sh/beatmapsets/1007778#fruits/2784277,,Sakuzyo - Fracture Ray (GiGas) [Kukkai's Overdose],DT,1290,,-1290
https://osu.ppy.sh/beatmapsets/2304147#fruits/4925326,,Toby Fox - THE WORLD REVOLVING (Camellia Remix) (Pepti) [BYE BYE!],NM,1290,,-1290
https://osu.ppy.sh/beatmapsets/2098285#fruits/4401321,,Camellia - GALAXY BURST (Zyzyx) [GALAXY COLLISION],NM,1280,,-1280
